"no","name","category","imageSrc","itemNumber","upc","bin","price","unitPrice","casePrice","unitsPerCase","averageUnitWeight","averageCaseWeight","onSale","volumePriceText"
81,"Diamond Crystal - Kosher Salt - 3 lbs","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/1/3/1360002001.png","20001","1360002001","3001",,"7.74","59.20",9,,,false,
82,"Chef's Quality - Complete Mashed Potatoes - #10 cans","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/i/n/instant.png","870062","76069500812","","",,,6,,,false,
83,"Friendship - All Natural 1.5% LowFat Plain Yogurt - 5 lb Tub","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/1/7150500824.jpg","29211","7150500824","307",,"6.68","24.85",4,,,false,
84,"James Farm - Swiss Cheese, Hi-Cut","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/2000_1.png","20012","20200120000","302",,"27.04","135.20",,8,40,false,"$3.38 per pound."
85,"Oranges - 113 ct","Fresh Produce","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/o/r/oranges_21.jpg","42794","2060042794","500","29.76",,,,,,false,
86,"Limes - 175/200 ct","Fresh Produce","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/2060042532.jpg","42532","2060042532","500","34.26",,,,,,false,
87,"Cheetos - Puffs - 44 Ct","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/8/2840020650.png","233680","2840020650","167","20.95",,,,,,true,
88,"Boneless Beef Chuck Tenders, Scotties, USDA Select","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/20771500000.jpg","77150","20771500000","319",,"77.35","274.95",,17,65,false,"$4.55 per pound. Buy more than 55 LBS, price per pound drops to $4.23"
89,"Gain 2X - Liquid Detergent - 6/25 oz Bottle","Retail Groceries (Non-Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/3/7/3700012783.jpg","38971","3700012783","2037","33.73",,,,,,false,
90,"Niagara Drinking Water - 0.5 Ltr, 32 Ct","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/7/2754100909.png","1220319","2754100909","31002","4.63",,,,,,false,
91,"Red & White - Creamy Peanut Butter - 12/18 oz","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/5/0/5070002371.jpg","29658","5070002371","3056","29.14",,,,,,true,
92,"James Farm - Sour Cream - 30 lb pail","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/1/6/1687.png","1530213","76069501687","308","54.95",,,,,,false,
93,"Deckel Meat, Rib Lifter, Special Trim","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/20772040000.jpg","77204","20772040000","319",,"70.65","349.60",,15,80,false,"$4.71 per pound. Buy more than 55 LBS, price per pound drops to $4.37"
94,"POWERADE Fruit Punch Bottles, 20 fl oz, 8 Pack, 3 Sets","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/9/4900000371.jpg","15099","4900000371","1047","17.73",,,,,,true,
95,"Argo - Corn Starch","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/6/76172007132.png","26933","76172007132","4001",,"2.17","40.67",24,,,false,
96,"Jarritos - Mandarin Soda - 24/12.5 oz glass bottles","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/3/6/36.png","437450","9047841001","1050","26.75",,,,,,false,
97,"Pure Life - Purified Water - 35/0.5L plastic bottles","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/p/l/pl16.jpg","26886","6827466931","4039","5.88",,,,,,true,
98,"POWERADE Grape Bottles, 20 fl oz, 8 Pack, 3 Sets","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/9/4900004713_1.png","2820384","4900004713","1047","17.67",,,,,,true,
99,"Chef's Quality - Tomato Ketchup Jug - #10 size","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/t/u/tub.png","2010066","76069501848","149",,"7.19","39.66",6,,,false,
100,"James Farm - Cream Cheese Loaf - 3 lbs","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/6/76069500000.jpg","62516","76069500000","309",,"8.46","84.64",10,,,false,
101,"Doritos - Flamin Hot Nacho - 50 Ct","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/8/2840033479.png","234015","2840033479","612","21.06",,,,,,false,
102,"Small Red Bean - 50 Lb","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","35890","85158900307","122","47.45",,,,,,false,
103,"San Pellegrino - Sparkling Natural Mineral Water - 12/1 Ltr","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/s/p/sp_-_liter_glass.png","13658","4150880080","184","25.93",,,,,,false,
104,"DOG CHOW COMP CHCK 18.5LB","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","570783","1780014915","5041","22.20",,,,,,false,
105,"Palmolive, Original Professional Dishwashing Soap - 145oz/4ct","Janitorial Supplies","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/p/a/palmoliveoriginalsoap.jpeg","2190094","82785400933","1008",,"21.82","76.80",4,,,false,
